k          a                    b                    x_k                  f(x_k)               e_k
1          -1.00000000          0.00000000           -0.50000000          1.09375000           0.07735027
2          -1.00000000          -0.50000000          -0.75000000          -4.02832031          0.17264973
3          -0.75000000          -0.50000000          -0.62500000          -0.86642456          0.04764973
4          -0.62500000          -0.50000000          -0.56250000          0.23814869           0.01485027
5          -0.62500000          -0.56250000          -0.59375000          -0.28005913          0.01639973
6          -0.59375000          -0.56250000          -0.57812500          -0.01282090          0.00077473
7          -0.57812500          -0.56250000          -0.57031250          0.11465069           0.00703777
8          -0.57812500          -0.57031250          -0.57421875          0.05141738           0.00313152
9          -0.57812500          -0.57421875          -0.57617188          0.01942459           0.00117839
10         -0.57812500          -0.57617188          -0.57714844          0.00333353           0.00020183
11         -0.57812500          -0.57714844          -0.57763672          -0.00473576          0.00028645
12         -0.57763672          -0.57714844          -0.57739258          -0.00069913          0.00004231
13         -0.57739258          -0.57714844          -0.57727051          0.00131769           0.00007976
14         -0.57739258          -0.57727051          -0.57733154          0.00030940           0.00001873
15         -0.57739258          -0.57733154          -0.57736206          -0.00019483          0.00001179
16         -0.57736206          -0.57733154          -0.57734680          0.00005729           0.00000347
17         -0.57736206          -0.57734680          -0.57735443          -0.00006877          0.00000416
18         -0.57735443          -0.57734680          -0.57735062          -0.00000574          0.00000035
19         -0.57735062          -0.57734680          -0.57734871          0.00002578           0.00000156
20         -0.57735062          -0.57734871          -0.57734966          0.00001002           0.00000061
