k          x_k                  f(x_k)               f'(x_k)              e_k
1          -0.20000000          2.92864000           1.95200000           0.00000000
2          -1.70032787          -140.34175568        339.09915490         1.50032787
3          -1.28646144          -45.12303385         142.09855583         0.41386643
4          -0.96891399          -13.97689979         62.22575021          0.31754745
5          -0.74429798          -3.85153013          30.70258108          0.22461601
6          -0.61885152          -0.74537134          19.45637154          0.12544646
7          -0.58054164          -0.05307079          16.73622399          0.03830988
8          -0.57737062          -0.00033633          16.52442623          0.00317101
9          -0.57735027          -0.00000001          16.52307318          0.00002035
10         -0.57735027          0.00000000           16.52307313          0.00000000
