k          x_k                  f(x_k)               e_k
1          0.00000000           3.00000000           0.57735027
2          -1.00000000          -16.00000000         0.42264973
3          -0.15789474          2.99454909           0.41945553
4          -0.29065522          2.66420740           0.28669505
5          -1.36136921          -56.74623418         0.78401894
6          -0.33867042          2.44102894           0.23867985
7          -0.38084904          2.18670946           0.19650122
8          -0.74351256          -3.82744812          0.16616229
9          -0.51271119          0.93771190           0.06463908
10         -0.55812943          0.30553835           0.01922084
11         -0.58008071          -0.04536369          0.00273044
12         -0.57724290          0.00177361           0.00010736
13         -0.57734968          0.00000972           0.00000059
14         -0.57735027          -0.00000000          0.00000000
